_key,_iOSkey,_AndroidKey,_说明,_备注,_Degree,_spma,_spmb,_spmc,_spmd
JuMain,JHSMainTabbarController,[JuMainActivity|TabMainActivity|HomeTabActivity|HomeTabActivity.BoxPageFragment],聚划算-首页,为了让数据统一，JuMain也统一成JuJRT的SPM,1,a2141,7718928,0,0
JuJRT,JHSHomeViewController,,聚划算-今日团,,1,a2141,7718928,0,0
JuVoice,JHSVoiceView,VoiceRecognizeActivity,聚划算-语音识别,,,a2141,8121538,0,0
JuH5,JHSWebViewController,[JuWindVaneActivity|JuWebViewActivity],聚划算-h5,,,a2141,7718932,0,0
JuJT,JUTouViewController,[JuTouActivity|JutouActivity],聚划算-聚透,,1,a2141,7718933,0,0
JuSearch,JUSearchDisplayController,SearchActivity,聚划算-搜索,,1,a2141,7718934,0,0
JuCollection,JHSCollectionViewController,JuShouCangActivity,聚划算-聚收藏,,1,a2141,7718935,0,0
JuLuaView,JHSLuaViewController,LuaViewActivity,聚划算-LuaView,由lua脚本埋点,1,a2141,7718928,0,0
JuThunderball,ARViewController,ThunderballActivity,聚划算-AR,,,a2141,8086255,0,0
JuWD,JHSMyProfileViewController,MyProfileActivity,聚划算-我的,,1,a2141,8090268,0,0
